,Lat,Lon,Base,Hour,KMEANS5_labels,AGGC_label,Day,KMEANS_label,DBSCAN_label
294,40.7582,-73.98,3,9,7,2,3,7,0
295,40.7591,-73.9644,3,17,7,2,6,7,0
296,40.7637,-73.972,2,15,7,2,3,7,0
297,40.7632,-73.9711,1,16,7,2,0,7,0
298,40.7313,-73.9922,1,18,2,0,4,1,0
299,40.7203,-73.9423,3,11,0,0,6,5,0
300,40.6751,-74.0166,3,21,0,0,1,0,0
301,40.6951,-73.992,3,17,0,0,2,0,0
302,40.7412,-73.9977,3,7,2,0,3,4,0
303,40.763,-73.9721,2,15,7,2,1,7,0
305,40.737,-74.0093,2,12,2,0,0,4,0
307,40.7637,-73.956,2,8,1,2,1,2,0
308,40.7342,-73.9748,2,11,7,0,2,1,0
309,40.7613,-73.9779,3,13,7,2,0,7,0
310,40.6845,-73.998,2,8,0,0,6,0,0
311,40.7528,-73.966,2,22,7,2,0,7,0
312,40.7649,-73.959,3,16,1,2,0,2,0
313,40.7159,-74.0118,3,13,2,0,4,3,0
316,40.7727,-73.9515,1,7,1,2,3,2,0
317,40.7168,-74.0001,3,21,2,0,5,3,0
318,40.7347,-74.0096,1,16,2,0,5,3,0
319,40.7189,-74.0104,2,16,2,0,3,3,0
320,40.7439,-74.0064,3,19,2,0,0,4,0
321,40.765,-73.9733,2,14,7,2,6,7,0
322,40.7187,-74.0029,2,14,2,0,5,3,0
323,40.6809,-73.9459,2,10,0,0,4,5,0
324,40.7866,-73.9702,3,16,1,2,4,6,0
325,40.7555,-73.9869,1,21,7,2,3,7,0
326,40.7647,-73.9704,1,17,7,2,4,7,0
327,40.7082,-74.0077,2,18,2,0,3,3,0
328,40.7517,-73.9499,2,23,7,2,4,2,0
329,40.7558,-73.9752,3,20,7,2,3,7,0
330,40.7278,-73.9913,1,18,2,0,2,1,0
331,40.697,-73.955,2,11,0,0,0,5,0
332,40.7265,-73.9957,1,17,2,0,5,1,0
333,40.7642,-73.9544,1,20,1,2,3,2,0
334,40.757,-73.9753,3,19,7,2,2,7,0
335,40.7138,-74.015,1,16,2,0,0,3,0
336,40.711,-74.0056,0,9,2,0,6,3,0
337,40.7277,-74.0473,2,5,2,0,2,3,0
338,40.7794,-73.9556,1,22,1,2,3,2,0
339,40.6536,-73.9528,2,11,0,0,6,0,0
340,40.7771,-73.9593,1,16,1,2,2,2,0
341,40.7796,-73.9839,3,7,7,2,0,7,0
342,40.754,-73.9922,3,16,7,2,2,4,0
343,40.7438,-74.0066,1,19,2,0,0,4,0
345,40.7188,-73.9534,3,16,0,0,2,5,0
346,40.6862,-73.9976,2,5,0,0,3,0,0
347,40.7557,-73.9749,1,12,7,2,2,7,0
348,40.7631,-73.9861,3,15,7,2,5,7,0
349,40.7439,-73.988,2,1,7,2,6,4,0
350,40.7086,-73.9005,0,10,6,0,6,5,0
351,40.6519,-73.9725,3,21,0,0,5,0,0
352,40.7421,-73.9986,2,18,2,0,1,4,0
354,40.7297,-73.987,2,0,2,0,5,1,0
355,40.7184,-73.9631,1,19,0,0,6,5,0
356,40.7703,-73.9105,4,11,6,2,5,2,0
357,40.7026,-73.995,1,18,2,0,5,3,0
358,40.7217,-74.0044,3,22,2,0,0,3,0
359,40.771,-73.9614,4,16,1,2,3,2,0
361,40.7801,-73.9531,3,8,1,2,0,2,0
363,40.7454,-73.9946,3,10,7,2,4,4,0
364,40.7415,-73.9936,2,17,2,2,0,4,0
366,40.7316,-74.0062,3,8,2,0,0,3,0
367,40.7419,-74.0038,2,10,2,0,6,4,0
368,40.7544,-73.9866,1,16,7,2,0,7,0
369,40.7201,-74.0044,2,8,2,0,1,3,0
370,40.7441,-73.9839,2,13,7,2,1,4,0
372,40.7529,-73.9946,2,2,7,2,6,4,0
374,40.7153,-74.0112,1,16,2,0,5,3,0
375,40.7615,-73.9685,2,13,7,2,1,7,0
377,40.7674,-73.9898,3,10,7,2,6,7,0
378,40.7205,-73.9872,0,0,2,0,6,1,0
379,40.7092,-74.0022,1,14,2,0,1,3,0
